S.No,City,Country,Continent,Capital City?,Language,Landform,Major Religion,Population (Urban) in Mil,GDP pc (in thousand USD),Average Highs in Peak Summer,Average Lows in Peak Winter,Average Yearly Rainfall (in m),Sunshine (annual hours),Unemployment Rate,Cost of Living (in thousand USD),HDI,Life Expectancy,PM2.5,CPI,Crime Index,Metro Length (km),Final Score
1,Honolulu,USA,North America,No,English,Coast,Protestant/Irreligious,0.85,82.549,31.6,19.3,0.42,3036,2.9,5.43,0.947,79.3,4,69,48.4,17.4,464.85
2,San Francisco,USA,North America,No,English,Coastal Mountains,Christian/Irreligious,3.51,170.075,21.2,8.1,0.58,3062,4.3,6.76,0.935,79.3,5.8,69,61.5,211.5,359.18
3,Dubai,UAE,Asia,No,Arabic,Coastal Desert,Islam,3.79,53.509,41.3,14.3,0.08,3570,3.4,4.51,0.937,82.9,43.6,68,16.2,89.6,341.21
4,Los Angeles,USA,North America,No,English,Coastal Mountains,Christian,12.23,101.178,28.9,9,0.36,3254,5.4,5.58,0.935,79.3,9.5,69,53.8,175,332.39
5,Perth,Australia,Oceania,No,English,Coastal Plains,Irreligious,2.31,53.211,31.6,8,0.73,3222,4.2,3.93,0.969,83.9,5.7,75,41.8,0,294.00
6,Melbourne,Australia,Oceania,No,English,Coastal Plains,Irreligious,5.21,63.104,27,5.8,0.52,2381,4.2,3.68,0.946,83.9,4.4,75,43.8,0,276.38
7,Singapore,Singapore,Asia,Yes,English,Coast,Buddhism/Irreligious/Christian/Islam,6.04,87.864,32.4,24.3,2.11,2074,1.9,6.22,0.949,83.7,13.4,83,22.6,242.6,256.68
8,Sydney,Australia,Oceania,No,English,Coast,Irreligious,5.45,73.02,27,8.9,1.15,2639,4.2,4.55,0.946,83.9,5,75,34.1,52,243.79
9,Miami,USA,North America,No,English,Coast,Christian,6.07,87.606,32.6,16.1,1.71,3154,3,5.75,0.927,79.3,6.7,69,52.7,39.3,224.35
10,Copenhagen,Denmark,Europe,Yes,Danish,Coast,Christian,1.38,106.417,22.2,-0.8,0.65,1629,5.3,4.66,0.970,81.9,7.9,90,25.8,43.3,220.60
11,Lisbon,Portugal,Europe,Yes,Portugese,Coast,Catholic,2.96,41.332,28.3,8.3,0.77,2806,7.4,3.16,0.907,82.4,7.6,61,31.3,44.5,217.97
12,Dallas,USA,North America,No,English,Plains,Christian,5.73,90.204,36.2,3.3,1.00,2850,4,4.30,0.927,79.3,5,69,51.5,0,216.67
13,Madrid,Spain,Europe,Yes,Spanish,Plateau,Catholic/Irreligious,6.21,43.588,32.1,2.7,0.42,2744,8.6,3.41,0.942,83.7,9,60,27.9,293.9,211.62
14,Luxembourg,Luxembourg,Europe,Yes,Luxembourgish,Valley,Catholic/Irreligious,0.13,132.78,23.9,-1,0.83,1605,6,4.59,0.927,82.2,8.8,78,28.7,0,195.71
15,Geneva,Switzerland,Europe,No,German,Plateau,Christian,0.2,109.457,26.7,-1.1,0.95,1887,2.25,6.13,0.973,84,8.4,82,30.4,0,194.37
16,Frankfurt,Germany,Europe,No,German,Plains,Irreligious,2.32,99.305,26.1,-0.5,0.60,1725,4.9,3.95,0.954,81.4,8.6,78,46.1,0,186.40
17,Christchurch,New Zealand,Oceania,No,English,Coastal Plains,Irreligious,0.4,57.78,22.5,0.7,0.62,2128,5,3.19,0.943,82.1,5.7,85,44.7,0,180.83
18,Amsterdam,Netherlands,Europe,Yes,Dutch,Coastal Plains,Irreligious,1.47,84.01,22.5,1,0.85,1780,3.9,4.86,0.964,82.2,9.1,79,28.4,42.7,175.61
19,Munich,Germany,Europe,No,German,Plateau,Christian/Irreligious,2.6,88.328,24.9,-1.8,0.94,1841,3.1,4.07,0.958,81.4,9.3,78,20.6,103.1,175.07
20,Barcelona,Spain,Europe,No,Spanish,Coastal Valley,Catholic/Irreligious,4.84,38.224,29,8.8,0.57,2524,7.87,3.44,0.922,83.7,11.5,60,51.7,166,173.05
21,Wellington,New Zealand,Oceania,Yes,English,Coastal Mountains,Irreligious,0.21,60.692,20.6,6.7,1.32,2094,5,3.72,0.969,82.1,3.1,85,32.9,0,168.36
22,Auckland,New Zealand,Oceania,No,English,Coast,Irreligious,1.53,43.713,24.4,7.7,1.12,2122,5,3.57,0.968,82.1,3.4,85,50.1,0,160.51
23,Helsinki,Finland,Europe,Yes,Finnish,Coast,Lutheran,1.36,83.444,21.9,-6.3,0.65,1862,6.9,3.43,0.961,81.9,4.9,87,24.7,43,154.06
24,Stockholm,Sweden,Europe,Yes,Swedish,Islands,Lutheran,1.62,73.482,23.6,-3.2,0.55,1899,5.6,3.91,0.976,83.3,5.4,82,46.1,108,152.79
25,Nice,France,Europe,No,French,Coastal Mountains,Catholic/Irreligious,0.94,43.014,27.9,5.8,0.79,2760,7.36,3.71,0.912,83.3,8.9,71,56.2,0,139.52
26,Oslo,Norway,Europe,Yes,Norwegian,Valley,Lutheran,1.06,86.574,22.7,-4.7,0.84,1725,4.2,4.26,0.982,83.3,6.2,84,33.9,85,136.05
27,Rome,Italy,Europe,Yes,Italian,Plains,Catholic,2.86,49.045,31.6,3.4,0.75,2724,5.8,3.40,0.929,83.7,13.1,56,48.8,60,134.92
